iter	Passed	Remaining
625	1382	825
626	1384	823
627	1387	821
628	1389	819
629	1392	817
630	1396	816
631	1399	814
632	1401	812
633	1403	810
634	1409	809
635	1412	808
636	1414	806
637	1417	804
638	1419	801
639	1426	802
640	1428	799
641	1430	797
642	1432	795
643	1435	793
644	1442	794
645	1445	791
646	1447	789
647	1449	787
648	1455	787
649	1459	785
650	1462	784
651	1465	782
652	1471	781
653	1474	779
654	1476	777
655	1478	775
656	1481	773
657	1485	771
658	1489	770
659	1510	777
660	1518	778
661	1520	776
662	1522	773
663	1525	771
664	1528	769
665	1533	769
666	1535	766
667	1538	764
668	1540	762
669	1550	763
670	1559	764
671	1566	764
672	1569	762
673	1572	760
674	1574	758
675	1579	756
676	1583	755
677	1585	753
678	1588	751
679	1590	748
680	1592	745
681	1594	743
682	1596	740
683	1597	738
684	1599	735
685	1600	732
686	1601	729
687	1602	726
688	1604	724
689	1606	721
690	1609	719
691	1612	717
692	1613	714
693	1616	712
694	1618	710
695	1620	707
696	1625	706
697	1631	706
698	1634	703
699	1636	701
700	1654	705
701	1658	704
702	1660	701
703	1662	698
704	1664	696
705	1666	693
706	1668	691
707	1671	689
708	1672	686
709	1673	683
710	1675	680
711	1676	678
712	1677	675
713	1679	672
714	1680	669
715	1688	669
716	1689	666
717	1690	664
718	1691	661
719	1693	658
720	1694	655
721	1695	652
722	1697	650
723	1699	647
724	1701	645
725	1702	642
726	1703	639
727	1704	637
728	1706	634
729	1707	631
730	1708	628
731	1709	625
732	1710	623
733	1714	621
734	1716	618
735	1717	615
736	1718	613
737	1719	610
738	1720	607
739	1721	605
740	1723	602
741	1724	599
742	1725	596
743	1726	594
744	1728	591
745	1730	589
746	1732	586
747	1733	584
748	1734	581
749	1735	578
750	1736	575
751	1737	573
752	1739	570
753	1740	567
754	1741	565
755	1745	563
756	1746	560
757	1747	557
758	1748	555
759	1749	552
760	1751	549
761	1752	547
762	1753	544
763	1754	541
764	1755	539
765	1756	536
766	1762	535
767	1764	532
768	1765	530
769	1767	527
770	1768	525
771	1769	522
772	1770	520
773	1772	517
774	1776	515
775	1778	513
776	1779	510
777	1780	508
778	1782	505
779	1783	503
780	1784	500
781	1786	497
782	1787	495
783	1789	492
784	1791	490
785	1793	488
786	1794	485
787	1796	483
788	1797	480
789	1799	478
790	1800	475
791	1802	473
792	1810	472
793	1812	470
794	1813	467
795	1815	465
796	1817	462
797	1820	460
798	1825	459
799	1826	456
800	1828	454
801	1829	451
802	1831	449
803	1833	446
804	1839	445
805	1842	443
806	1843	440
807	1845	438
808	1846	435
809	1850	434
810	1853	432
811	1856	429
812	1858	427
813	1859	424
814	1869	424
815	1872	422
816	1875	420
817	1876	417
818	1878	415
819	1882	413
820	1885	411
821	1887	408
822	1890	406
823	1894	404
824	1897	402
825	1899	400
826	1901	397
827	1912	397
828	1915	395
829	1916	392
830	1918	390
831	1925	388
832	1929	386
833	1930	384
834	1932	381
835	1934	379
836	1940	377
837	1943	375
838	1945	373
839	1946	370
840	1947	368
841	1949	365
842	1957	364
843	1960	362
844	1961	359
845	1962	357
846	1964	354
847	1966	352
848	1971	350
849	1973	348
850	1975	345
851	1976	343
852	1978	340
853	1980	338
854	1984	336
855	1987	334
856	1989	331
857	1990	329
858	1992	327
859	1993	324
860	1994	321
861	1995	319
862	2003	317
863	2005	315
864	2006	313
865	2007	310
866	2008	308
867	2009	305
868	2012	303
869	2016	301
870	2019	299
871	2021	296
872	2022	294
873	2023	291
874	2025	289
875	2037	288
876	2038	285
877	2040	283
878	2041	281
879	2047	279
880	2049	276
881	2052	274
882	2053	272
883	2055	269
884	2056	267
885	2059	264
886	2064	263
887	2066	260
888	2068	258
889	2069	255
890	2071	253
891	2081	251
892	2083	249
893	2084	247
894	2085	244
895	2087	242
896	2093	240
897	2096	238
898	2098	235
899	2099	233
900	2100	230
901	2102	228
902	2109	226
903	2112	224
904	2113	221
905	2115	219
906	2116	217
907	2118	214
908	2128	213
909	2130	210
910	2131	208
911	2133	205
912	2136	203
913	2143	201
914	2144	199
915	2146	196
916	2147	194
917	2149	192
918	2157	190
919	2159	187
920	2161	185
921	2162	182
922	2163	180
923	2165	178
924	2170	175
925	2172	173
926	2174	171
927	2175	168
928	2176	166
929	2178	163
930	2185	161
931	2187	159
932	2189	157
933	2191	154
934	2193	152
935	2201	150
936	2204	148
937	2206	145
938	2207	143
939	2209	141
940	2214	138
941	2218	136
942	2220	134
943	2222	131
944	2224	129
945	2231	127
946	2236	125
947	2239	122
948	2241	120
949	2243	118
950	2244	115
951	2248	113
952	2251	111
953	2252	108
954	2254	106
955	2255	103
956	2256	101
957	2258	99
958	2263	96
959	2265	94
960	2267	92
961	2268	89
962	2269	87
963	2271	84
964	2272	82
965	2277	80
966	2280	77
967	2281	75
968	2283	73
969	2284	70
970	2286	68
971	2287	65
972	2289	63
973	2292	61
974	2293	58
975	2295	56
976	2296	54
977	2299	51
978	2300	49
979	2301	46
980	2304	44
981	2308	42
982	2310	39
983	2312	37
984	2313	35
985	2314	32
986	2315	30
987	2316	28
988	2321	25
989	2324	23
990	2326	21
991	2327	18
992	2328	16
993	2330	14
994	2331	11
995	2332	9
996	2341	7
997	2344	4
998	2345	2
999	2347	0
